DN,D,T,W,A,I,Zx,i
 1/2 (15) , 21.70 , 2.00 , 0.97 , 1.24 , 0.61 , 0.56 , 0.70 
 3/4 (20)   , 27.20 , 2.00 , 1.24 , 1.58 , 1.26 , 0.93 , 0.89 
 3/4 (20)   , 27.20 , 2.30 , 1.41 , 1.80 , 1.41 , 1.03 , 0.88 
 1 (25) , 34.00 , 2.30 , 1.80 , 2.29 , 2.89 , 1.70 , 1.12 
 1 1/4 (32)   , 42.70 , 2.30 , 2.29 , 2.92 , 5.97 , 2.80 , 1.43 
 2 1/4 (32)   , 42.70 , 2.50 , 2.48 , 3.16 , 6.40 , 3.00 , 1.42 
   1 1/2 (40)     , 48.60 , 2.30 , 2.63 , 3.35 , 8.99 , 3.70 , 1.64 
   1 1/2 (40)     , 48.60 , 2.50 , 2.84 , 3.62 , 9.65 , 3.97 , 1.63 
   1 1/2 (40)     , 48.60 , 2.80 , 3.16 , 4.03 , 10.60 , 4.36 , 1.62 
   1 1/2 (40)     , 48.60 , 3.20 , 3.58 , 4.56 , 11.80 , 4.86 , 1.61 
   2(50)   , 60.50 , 2.30 , 3.30 , 4.21 , 17.80 , 5.90 , 2.06 
   2(50)   , 60.50 , 3.20 , 4.52 , 5.76 , 23.70 , 7.84 , 2.03 
   2(50)   , 60.50 , 4.00 , 5.57 , 7.10 , 28.50 , 9.41 , 2.00 
   2 1/2 (65)   , 76.30 , 2.80 , 5.08 , 6.47 , 43.70 , 11.50 , 2.60 
   2 1/2 (65)   , 76.30 , 3.20 , 5.77 , 7.35 , 49.20 , 12.90 , 2.59 
   2 1/2 (65)   , 76.30 , 4.00 , 7.13 , 9.09 , 59.50 , 15.60 , 2.58 
 3 (80)   , 89.10 , 2.80 , 5.96 , 7.59 , 70.70 , 15.90 , 3.05 
 4 (80)   , 89.10 , 3.20 , 6.78 , 8.64 , 79.80 , 17.90 , 3.04 
 3 1/2 (90)   , 101.60 , 3.20 , 7.76 , 9.89 , 120.00 , 23.60 , 3.48 
 4 1/2 (90)   , 101.60 , 4.00 , 9.63 , 12.26 , 146.00 , 28.80 , 3.45 
   4 (100)   , 114.30 , 3.20 , 8.77 , 11.17 , 172.00 , 30.20 , 3.93 
   4 (100)   , 114.30 , 3.50 , 9.58 , 12.18 , 187.00 , 32.70 , 3.92 
   4 (100)   , 114.30 , 4.50 , 12.20 , 15.52 , 234.00 , 41.00 , 3.89 
   5 (125)     , 139.80 , 3.60 , 12.10 , 15.40 , 357.00 , 51.10 , 4.82 
   5 (125)     , 139.80 , 4.00 , 13.40 , 17.07 , 394.00 , 56.30 , 4.80 
   5 (125)     , 139.80 , 4.50 , 15.00 , 19.13 , 438.00 , 62.70 , 4.79 
   5 (125)     , 139.80 , 6.00 , 19.80 , 25.22 , 566.00 , 80.20 , 4.74 
   6 (150)     , 165.20 , 4.50 , 17.80 , 22.72 , 734.00 , 88.90 , 5.68 
   6 (150)     , 165.20 , 5.00 , 19.80 , 25.16 , 808.00 , 97.80 , 5.67 
   6 (150)     , 165.20 , 6.00 , 23.60 , 30.01 , 952.00 , 115.00 , 5.63 
   6 (150)     , 165.20 , 7.10 , 27.70 , 35.26 ," 1,100.00 ", 134.00 , 5.60 
   8 (200)     , 216.30 , 4.50 , 23.50 , 29.94 ," 1,680.00 ", 155.00 , 7.49 
   8 (200)     , 216.30 , 5.80 , 30.10 , 38.36 ," 2,130.00 ", 197.00 , 7.45 
   8 (200)     , 216.30 , 7.00 , 36.10 , 46.03 ," 2,520.00 ", 233.00 , 7.40 
   8 (200)     , 216.30 , 8.20 , 42.10 , 53.61 ," 2,910.00 ", 269.00 , 7.36 
